文件编号,原始文件编号,文件格式,文件夹编号,相机编号,布设点位编号,拍摄日期,拍摄时间,工作天数,对象类别,物种名称,动物数量,性别,独立探测首张,备注
小麂 (2),小麂 (2),JPG,756303,SPB3,756303,2023/9/16,11:41,4,,,,,1,
小麂 (6),小麂 (6),JPG,756303,SPB3,756303,2023/9/16,11:41,4,,,,,,
小麂 (5),小麂 (5),JPG,756303,SPB3,756303,2023/9/16,11:41,4,,,,,,
小麂 (3),小麂 (3),JPG,756303,SPB3,756303,2023/9/16,11:41,4,,,,,,
小麂 (4),小麂 (4),JPG,756303,SPB3,756303,2023/9/16,11:41,4,,,,,,
小麂 (7),小麂 (7),JPG,756303,SPB3,756303,2023/9/16,14:29,4,,,,,1,
小麂 (10),小麂 (10),JPG,756303,SPB3,756303,2023/9/16,14:29,4,,,,,,
小麂 (1),小麂 (1),JPG,756303,SPB3,756303,2023/9/16,14:29,4,,,,,,
小麂 (9),小麂 (9),JPG,756303,SPB3,756303,2023/9/16,14:29,4,,,,,,
小麂 (8),小麂 (8),JPG,756303,SPB3,756303,2023/9/16,14:29,4,,,,,,
ECSP0031,ECSP0031,JPG,756303,SPB3,756303,2023/9/21,12:31,9,,,,,,
ECSP0032,ECSP0032,JPG,756303,SPB3,756303,2023/9/21,12:31,9,,,,,,
ECSP0034,ECSP0034,JPG,756303,SPB3,756303,2023/9/21,12:31,9,,,,,,
ECSP0035,ECSP0035,JPG,756303,SPB3,756303,2023/9/21,12:31,9,,,,,,
ECSP0033,ECSP0033,JPG,756303,SPB3,756303,2023/9/21,12:31,9,,,,,,
ECSP0040,ECSP0040,JPG,756303,SPB3,756303,2023/9/21,17:06,9,,,,,,
ECSP0037,ECSP0037,JPG,756303,SPB3,756303,2023/9/21,17:06,9,,,,,,
ECSP0038,ECSP0038,JPG,756303,SPB3,756303,2023/9/21,17:06,9,,,,,,
ECSP0039,ECSP0039,JPG,756303,SPB3,756303,2023/9/21,17:06,9,,,,,,
ECSP0041,ECSP0041,JPG,756303,SPB3,756303,2023/9/21,17:06,9,,,,,,
小麂 (13),小麂 (13),JPG,756303,SPB3,756303,2023/9/21,18:28,9,,,,,1,
小麂 (12),小麂 (12),JPG,756303,SPB3,756303,2023/9/21,18:28,9,,,,,,
小麂 (14),小麂 (14),JPG,756303,SPB3,756303,2023/9/21,18:28,9,,,,,,
小麂 (15),小麂 (15),JPG,756303,SPB3,756303,2023/9/21,18:28,9,,,,,,
小麂 (11),小麂 (11),JPG,756303,SPB3,756303,2023/9/21,18:28,9,,,,,,
人 (2),人 (2),JPG,756303,SPB3,756303,2023/10/3,14:50,21,,,,,1,
人 (4),人 (4),JPG,756303,SPB3,756303,2023/10/3,14:50,21,,,,,,
人 (3),人 (3),JPG,756303,SPB3,756303,2023/10/3,14:50,21,,,,,,
人 (6),人 (6),JPG,756303,SPB3,756303,2023/10/3,14:50,21,,,,,,
人 (5),人 (5),JPG,756303,SPB3,756303,2023/10/3,14:50,21,,,,,,
人 (7),人 (7),JPG,756303,SPB3,756303,2023/10/3,14:51,21,,,,,,
人 (8),人 (8),JPG,756303,SPB3,756303,2023/10/3,14:51,21,,,,,,
人 (11),人 (11),JPG,756303,SPB3,756303,2023/10/3,14:51,21,,,,,,
人 (10),人 (10),JPG,756303,SPB3,756303,2023/10/3,14:51,21,,,,,,
人 (9),人 (9),JPG,756303,SPB3,756303,2023/10/3,14:51,21,,,,,,
人 (14),人 (14),JPG,756303,SPB3,756303,2023/10/3,17:28,21,,,,,1,
人 (13),人 (13),JPG,756303,SPB3,756303,2023/10/3,17:28,21,,,,,,
人 (15),人 (15),JPG,756303,SPB3,756303,2023/10/3,17:28,21,,,,,,
人 (12),人 (12),JPG,756303,SPB3,756303,2023/10/3,17:28,21,,,,,,
人 (16),人 (16),JPG,756303,SPB3,756303,2023/10/3,17:28,21,,,,,,
人 (19),人 (19),JPG,756303,SPB3,756303,2023/10/3,17:31,21,,,,,,
人 (18),人 (18),JPG,756303,SPB3,756303,2023/10/3,17:31,21,,,,,,
人 (17),人 (17),JPG,756303,SPB3,756303,2023/10/3,17:31,21,,,,,,
